era,player,runs,balls_faced,innings,matches,strike_rate,avg_per_innings,boundary_pct,dot_pct,six_of_boundaries_pct,impact_score
2018-2022,Tilak Varma,397,302,2,14,131.4569536423841,198.5,14.90066225165563,30.79470198675497,35.55555555555556,0.20837313245171704
2018-2022,AJ Finch,482,400,2,26,120.5,241.0,15.5,42.5,29.03225806451613,0.2020198673327513
2018-2022,Mohammad Nabi,178,117,3,13,152.13675213675214,59.333333333333336,21.367521367521366,34.18803418803419,36.0,0.19941716901124631
2018-2022,KK Nair,338,259,2,18,130.5019305019305,169.0,15.057915057915059,31.66023166023166,33.33333333333333,0.1916940726518734
2018-2022,Abdul Samad,228,161,3,19,141.61490683229815,76.0,16.149068322981368,33.54037267080746,53.84615384615385,0.1837483559204019
2018-2022,D Brevis,161,113,2,7,142.47787610619469,80.5,22.123893805309734,46.017699115044245,44.0,0.1782183131084159
2018-2022,SN Khan,349,282,2,21,123.75886524822694,174.5,16.312056737588655,35.46099290780142,15.217391304347828,0.177753277549324
2018-2022,MR Marsh,251,190,2,9,132.10526315789474,125.5,17.36842105263158,39.473684210526315,42.42424242424242,0.17451868927047084
2018-2022,RK Singh,251,193,2,15,130.05181347150258,125.5,16.580310880829018,35.751295336787564,28.125,0.16945993580867083
2018-2022,MK Lomror,267,208,2,15,128.3653846153846,133.5,13.461538461538462,32.21153846153847,46.42857142857143,0.16919045703523702
2018-2022,Washington Sundar,308,251,2,27,122.70916334661355,154.0,13.94422310756972,36.65338645418327,25.71428571428571,0.16521171553946357
2018-2022,JJ Roy,270,214,2,10,126.16822429906543,135.0,17.75700934579439,41.1214953271028,21.052631578947366,0.16450612392899697
2018-2022,CH Morris,179,133,2,21,134.58646616541355,89.5,15.037593984962406,38.34586466165413,60.0,0.16314825928074483
2018-2022,YK Pathan,300,245,2,20,122.44897959183673,150.0,14.285714285714285,38.36734693877551,34.285714285714285,0.16262819043002352
2018-2022,SW Billings,271,219,2,17,123.74429223744292,135.5,14.15525114155251,40.63926940639269,45.16129032258064,0.158777491707615
2018-2022,SN Thakur,165,124,2,18,133.06451612903226,82.5,15.32258064516129,35.483870967741936,42.10526315789473,0.15599940947702967
2018-2022,M Shahrukh Khan,270,222,2,18,121.62162162162163,135.0,14.414414414414415,42.792792792792795,59.375,0.1533053907499151
2018-2022,JD Unadkat,159,120,2,16,132.5,79.5,15.833333333333332,35.833333333333336,31.57894736842105,0.15315178775178248
2018-2022,C Munro,147,111,2,8,132.43243243243242,73.5,21.62162162162162,47.74774774774775,33.33333333333333,0.1500715040021339
2018-2022,Shahbaz Ahmed,278,233,2,19,119.31330472103004,139.0,12.446351931330472,37.76824034334764,37.93103448275862,0.149561314229724
2018-2022,C de Grandhomme,171,132,2,12,129.54545454545453,85.5,14.393939393939394,38.63636363636363,57.89473684210527,0.148786978098911
2018-2022,JO Holder,209,167,2,19,125.1497005988024,104.5,14.37125748502994,41.31736526946108,62.5,0.14718498995300203
2018-2022,HV Patel,183,144,2,19,127.08333333333333,91.5,15.972222222222221,40.27777777777778,43.47826086956522,0.14563527478974284
2018-2022,SS Tiwary,218,177,2,9,123.1638418079096,109.0,12.994350282485875,28.8135593220339,21.73913043478261,0.14447812060778412
2018-2022,Shakib Al Hasan,291,253,2,20,115.01976284584981,145.5,13.438735177865613,35.177865612648226,17.647058823529413,0.14214065365907286
2018-2022,KS Bharat,198,161,2,8,122.98136645962734,99.0,12.422360248447205,34.78260869565217,40.0,0.1391722047818549
2018-2022,AD Hales,147,117,2,6,125.64102564102564,73.5,16.23931623931624,40.17094017094017,31.57894736842105,0.13334060825913496
2018-2022,A Badoni,161,130,2,11,123.84615384615385,80.5,13.846153846153847,36.92307692307693,38.88888888888889,0.13231833800462975
2018-2022,PK Garg,247,216,2,17,114.35185185185186,123.5,10.648148148148149,36.11111111111111,39.130434782608695,0.1298111913515452
2018-2022,B Sai Sudharsan,141,113,2,5,124.7787610619469,70.5,14.15929203539823,30.973451327433626,18.75,0.12975947160415768
2018-2022,CA Ingram,184,154,2,12,119.48051948051948,92.0,16.233766233766232,40.909090909090914,20.0,0.12714826511063393
2018-2022,S Gopal,166,142,2,19,116.90140845070422,83.0,14.084507042253522,35.91549295774648,10.0,0.11642378179533926
2018-2022,TK Curran,127,107,2,10,118.69158878504673,63.5,12.149532710280374,33.64485981308411,23.076923076923077,0.11136401860088369
2018-2022,K Rabada,131,112,2,20,116.96428571428572,65.5,14.285714285714285,43.75,31.25,0.10808001619474444
2018-2022,Gurkeerat Singh,169,150,2,8,112.66666666666667,84.5,14.000000000000002,38.0,9.523809523809524,0.10671978720344091
2018-2022,MS Wade,157,138,2,10,113.76811594202898,78.5,18.115942028985508,49.275362318840585,8.0,0.10651942208061019
2018-2022,KM Jadhav,299,304,2,23,98.35526315789474,149.5,11.842105263157894,45.39473684210527,19.444444444444446,0.10302956042789181
