bowler,balls,runs,wickets,dots,matches,economy,sr,dot_pct,avg
TU Deshpande,965,1531,55,361,46,9.519170984455958,17.545454545454547,37.409326424870464,27.836363636363636
S Nadeem,1415,1758,54,469,70,7.454416961130742,26.203703703703702,33.14487632508834,32.55555555555556
S Gopal,991,1345,53,326,51,8.143289606458122,18.69811320754717,32.89606458123108,25.37735849056604
NM Coulter-Nile,857,1079,52,387,38,7.554259043173863,16.48076923076923,45.15752625437573,20.75
M Pathirana,702,942,51,260,32,8.051282051282051,13.764705882352942,37.03703703703704,18.470588235294116
A Kumble,965,1050,49,397,42,6.528497409326425,19.693877551020407,41.13989637305699,21.428571428571427
SB Jakati,1085,1444,49,355,57,7.985253456221199,22.142857142857142,32.71889400921659,29.46938775510204
AJ Tye,684,970,48,224,30,8.508771929824562,14.25,32.748538011695906,20.208333333333332
S Aravind,760,1025,48,302,38,8.092105263157894,15.833333333333334,39.73684210526316,21.354166666666668
PWH de Silva,798,1122,47,276,37,8.43609022556391,16.97872340425532,34.58646616541353,23.872340425531913
RJ Harris,832,1034,47,390,37,7.456730769230768,17.70212765957447,46.875,22.0
Noor Ahmad,804,1069,47,289,38,7.977611940298508,17.106382978723403,35.9452736318408,22.74468085106383
MP Stoinis,888,1425,46,260,71,9.628378378378379,19.304347826086957,29.27927927927928,30.97826086956522
MM Ali,854,1021,46,302,57,7.173302107728338,18.565217391304348,35.36299765807963,22.195652173913043
Mukesh Kumar,654,1091,46,230,33,10.009174311926605,14.217391304347826,35.16819571865443,23.717391304347824
MC Henriques,950,1268,46,315,60,8.00842105263158,20.652173913043477,33.1578947368421,27.565217391304348
Iqbal Abdulla,920,1099,45,346,48,7.167391304347826,20.444444444444443,37.608695652173914,24.42222222222222
YK Pathan,1147,1400,45,419,82,7.323452484742807,25.488888888888887,36.53007846556234,31.11111111111111
GJ Maxwell,1022,1390,45,337,85,8.160469667318981,22.711111111111112,32.974559686888455,30.88888888888889
VR Aaron,994,1439,45,415,50,8.686116700201207,22.08888888888889,41.75050301810865,31.977777777777778
PJ Sangwan,856,1202,44,338,42,8.425233644859814,19.454545454545453,39.48598130841122,27.318181818181817
P Awana,747,1007,43,307,33,8.08835341365462,17.372093023255815,41.09772423025435,23.41860465116279
DE Bollinger,576,684,43,270,27,7.125,13.395348837209303,46.875,15.906976744186046
Yash Dayal,871,1338,43,319,43,9.21699196326062,20.25581395348837,36.624569460390354,31.11627906976744
S Sreesanth,880,1120,43,416,44,7.636363636363637,20.46511627906977,47.27272727272727,26.046511627906977
VG Arora,686,1057,42,262,34,9.244897959183675,16.333333333333332,38.19241982507289,25.166666666666668
Harshit Rana,649,1007,42,262,32,9.309707241910633,15.452380952380953,40.36979969183359,23.976190476190474
R Sharma,928,1093,42,344,44,7.066810344827586,22.095238095238095,37.06896551724138,26.023809523809526
Washington Sundar,1138,1455,41,388,64,7.671353251318102,27.75609756097561,34.09490333919156,35.48780487804878
DT Christian,883,1174,40,316,49,7.9773499433748585,22.075,35.78708946772367,29.35
M Kartik,1149,1366,39,405,55,7.133159268929504,29.46153846153846,35.24804177545692,35.02564102564103
Yuvraj Singh,869,1078,39,269,73,7.443037974683544,22.28205128205128,30.95512082853855,27.641025641025642
M Jansen,757,1113,39,310,36,8.821664464993395,19.41025641025641,40.95112285336856,28.53846153846154
WD Parnell,723,910,39,312,33,7.551867219917012,18.53846153846154,43.15352697095436,23.333333333333332
MS Gony,888,1278,39,366,44,8.635135135135135,22.76923076923077,41.21621621621622,32.76923076923077
DP Nannes,646,762,38,306,29,7.077399380804954,17.0,47.368421052631575,20.05263157894737
P Negi,716,937,38,249,42,7.85195530726257,18.842105263157894,34.77653631284916,24.657894736842106
MR Marsh,560,769,37,189,34,8.239285714285714,15.135135135135135,33.75,20.783783783783782
NLTC Perera,698,1010,37,238,36,8.681948424068768,18.864864864864863,34.097421203438394,27.2972972972973
M Markande,726,1078,36,219,38,8.90909090909091,20.166666666666668,30.165289256198346,29.944444444444443
M Theekshana,876,1192,36,273,38,8.164383561643836,24.333333333333332,31.164383561643838,33.111111111111114
KK Cooper,576,757,36,209,25,7.885416666666667,16.0,36.28472222222222,21.02777777777778
CJ Jordan,674,1056,35,225,34,9.400593471810089,19.257142857142856,33.38278931750742,30.17142857142857
Harpreet Brar,811,1069,35,279,46,7.908754623921085,23.17142857142857,34.4019728729963,30.542857142857144
L Ngidi,394,538,35,161,17,8.192893401015228,11.257142857142858,40.86294416243655,15.371428571428572
M Ashwin,870,1150,35,298,44,7.931034482758621,24.857142857142858,34.25287356321839,32.857142857142854
R Tewatia,843,1093,35,270,52,7.779359430604982,24.085714285714285,32.028469750889684,31.228571428571428
DL Vettori,777,886,34,283,34,6.841698841698842,22.852941176470587,36.42213642213642,26.058823529411764
AB Agarkar,782,1129,33,273,42,8.662404092071611,23.696969696969695,34.910485933503836,34.21212121212121
Shivam Mavi,649,906,33,267,32,8.375963020030817,19.666666666666668,41.14021571648691,27.454545454545453
MF Maharoof,420,504,33,177,20,7.199999999999999,12.727272727272727,42.142857142857146,15.272727272727273
A Zampa,467,643,32,143,22,8.261241970021413,14.59375,30.620985010706637,20.09375
R Sai Kishore,441,643,32,134,25,8.748299319727892,13.78125,30.385487528344672,20.09375
BA Stokes,689,984,31,250,38,8.568940493468796,22.225806451612904,36.284470246734394,31.741935483870968
Azhar Mahmood,537,680,31,206,23,7.597765363128492,17.322580645161292,38.361266294227185,21.93548387096774
