era,player,wickets,balls_bowled,matches,economy,bowling_sr,bowling_avg,dot_pct,impact_score
2013-2017,S Aravind,26,466,24,7.879828326180257,17.923076923076923,23.53846153846154,37.76824034334764,0.5455563475658705
2013-2017,KK Cooper,26,432,19,7.986111111111112,16.615384615384617,22.115384615384617,34.02777777777778,0.5431302110262006
2013-2017,JH Kallis,23,450,23,7.72,19.565217391304348,25.17391304347826,37.333333333333336,0.5385903367444692
2013-2017,Mohammad Nabi,2,66,3,5.363636363636363,33.0,29.5,53.03030303030303,0.5384233013170032
2013-2017,NLTC Perera,32,593,29,8.620573355817875,18.53125,26.625,35.24451939291737,0.535982970860932
2013-2017,SMSM Senanayake,9,192,8,6.5,21.333333333333332,23.11111111111111,39.0625,0.5348645137434584
2013-2017,R Tewatia,8,126,7,6.6190476190476195,15.75,17.375,41.269841269841265,0.5347495831516503
2013-2017,KH Pandya,16,427,24,7.02576112412178,26.6875,31.25,30.913348946135834,0.530685531103625
2013-2017,L Balaji,25,504,22,8.083333333333334,20.16,27.16,39.682539682539684,0.5299481357915015
2013-2017,HV Patel,28,437,23,8.526315789473685,15.607142857142858,22.178571428571427,39.130434782608695,0.529572890190682
2013-2017,RE van der Merwe,4,66,3,6.363636363636363,16.5,17.5,37.878787878787875,0.5294285186771803
2013-2017,BA Stokes,14,264,12,7.181818181818182,18.857142857142858,22.571428571428573,43.93939393939394,0.5287654356820888
2013-2017,PP Ojha,23,602,28,7.744186046511628,26.17391304347826,33.78260869565217,36.21262458471761,0.5274634795486053
2013-2017,A Chandila,6,150,8,6.319999999999999,25.0,26.333333333333332,43.333333333333336,0.5256390744949919
2013-2017,P Awana,25,465,21,8.245161290322581,18.6,25.56,40.43010752688172,0.5255939456764607
2013-2017,R Dhawan,20,488,25,7.610655737704918,24.4,30.95,32.78688524590164,0.5246323121889229
